Code,f1_Code,f2_Subset,f3_Datasource,f4_Authors,f5_MAreaD,f6_MAreaH,f7_Family,f8_Glottocode,f9_ISO,f10_Genus,f11_Languagename,f12_Reconstructed,f13_Source_form,f14_Source_meaning,f15_Source_meaning_simp,f16_Source_Labelgroup,f17_Target_form,f18_Target_meaning,f19_Target_meaning_simp,f20_Target_Labelgroup,f21_Ex,f22_Ex_gloss,f23_Ex_translation,f24_Ex_reference,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
,1015,other sources,Handbook,Adelaar,South America,South America,Quechuan,ayac1239,quy,Quechua,Ayacucho Quechua,,-na,non-agentive non-realized NOMINALIZER,NOMINALIZER,WORD CLASS CHANGE,-na,DEONTIC construction,D-NECESSITY,MODALITY,puñu-na-yki-m ka-rqa,sleep-FUT.NMLZ-2SUBJ be-PAST,'You had to sleep.',Adelaar 2020: 1000,example from Ayacucho Quechua; exists in other varieties too,3,2,4,3,1,4,1,1,0,0,1,0,0,0,0,0
,1016,30 Sources,Handbook,Adelaar,South America,South America,Quechuan,colo1257,-,Quechua,Ecuadorian Quichua,,(-q) ri-,(-agentive NOMINALIZATION) 'go','go',LEXICAL,-gri-,purpose of motion (associated motion),ASSOCIATED MOTION,"VERBAL CATEGORIES, OTHER",miku-gri-ni,eat-INCHOAT-1SUBJ,'I am going to eat',Muysken 1977: 107,example from Ecuadorian Highland Qu.,3,2,3,3,1,4,4,1,1,0,1,1,0,1,1,0
,1017,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1386,-,Quechua,Quechua I,,waša,'back (body part)','back (body part)',LEXICAL,waša,behind' (SPATIAL postposition),BEHIND,CASE/ADPOSITION,lo:ma waša-n-ĉu,mountain back-3POSS-LOC,'behind the mountain',Adelaar (personal communication),example from North Junín Quechua,3,1,2,1,1,2,2,1,1,0,1,0,0,1,1,0
,1018,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1386,-,Quechua,Quechua I,,šamu-  ,'come','come',LEXICAL,-mu-,VENITIVE,VENITIVE,VERBAL DEIXIS,ša-ya:-mu-n,come-PROGR-VENIT-3SUBJ,'(s)he is coming',Adelaar (personal communication),example from North Junín Quechua,3,2,4,3,4,4,4,1,1,1,1,1,1,1,1,0
,1019,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1387,-,Quechua,Quechua I,,čay,DEMONSTRATIVE,DEMONSTRATIVE,DEMONSTRATIVE,čay,"CONJUNCTION (causal, consecutive, temporal)",SUBORDINATOR,CONJUNCTION,čay-mi,that-ASSERT,'so; therefore',Adelaar (personal communication),all Quechuan expression,3,2,2,1,1,2,2,1,1,0,0,0,0,1,1,0
,1020,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1387,-,Quechua,Quechua II,,čay,DEMONSTRATIVE,DEMONSTRATIVE,DEMONSTRATIVE,čay,RELATIVIZER,RELATIVIZER,RELATIVIZATION,may-pi-m iskay rumi tiya-ku-n chay-man,what.place-LOC-ASSERT two stone be-REFL-3SUBJ that-ALL,'to the place where there are two stones',Taylor 1980: 32,example from Huarochirí Qu. (17th c.),3,2,2,1,1,2,2,1,1,0,0,0,0,1,1,0
,1021,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1388,-,Quechua,Quechua I,,uša-,'end' (≈ 'finish'),'end' (≈ 'finish'),LEXICAL,uša-,after' (TEMPORAL postposition),AFTER,TENSE,intiřa-y uša-y-qa,bury-INF end-INF-TOP,'after the burial',Adelaar (personal communication),example from North Junín Quechua,3,1,2,1,1,3,2,1,1,0,1,0,0,1,1,0
,1022,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1388,-,Quechua,Quechua II,,ri-,'go','go',LEXICAL,ri-,INCEPTIVE derivational marker ,INCEPTIVE,ASPECT,puri-ri-čka-ni,walk-INCEPT-PROGR-1SUBJ,'I am just starting to walk',Parker 1969: 67,example from Ayacucho Quechua,3,2,3,3,1,4,4,2,1,0,1,1,0,1,1,1
,1023,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1386,-,Quechua,Quechua I,,uma,'head','head',LEXICAL,uma,'upper part of body (positional meaning)','upper part of body',OTHER,uma-man,upper.part-ALL,'upwards',Carranza Romero 2003: 255,example from Ancash Quechua,2,1,2,1,2,2,2,1,1,0,1,0,1,1,1,0
,1024,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1388,-,Quechua,Quechua II,,runa,'man','man',LEXICAL,runa,INDEFINITE PRON ('someone else'),INDEFINITE PRONOUN,PRONOUN/PROVERB,runa-pa wasi-n,person-GEN house-3POSS,"'someone else's house', 'other people's house'",Adelaar (personal communication),example from Ayacucho Quechua,2,1,2,1,1,2,1,1,1,0,1,0,0,1,0,0
,1025,30 Sources,other,Adelaar,South America,South America,Quechuan,ayac1239,quy,Quechua,Ayacucho Quechua,,huk,numeral 'one','one',LEXICAL,huk,'other',OTHER,IDENTITY,huk runa-kuna,one person-PL,'other people',Adelaar (personal communication),example from Ayacucho Quechua; exists in other varieties too,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0
,1026,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1387,-,Quechua,Quechua I,,huk,numeral 'one','one',LEXICAL,huk,'same',SAME,IDENTITY,xuk-la-č̣u:-mi ga-rga-ya-n,one-RESTR-LOC-ASS be-PL-PROGR-3SUBJ,'they live in the same place',Adelaar (personal communication),example from Tarma Quechua; exists in other varieties too,2,2,2,1,1,1,2,1,0,0,0,0,0,0,1,0
,1027,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1386,-,Quechua,Quechua I,,ni-,'say','say',LEXICAL,ni-,COMPLEMENTIZER,COMPLEMENTIZER,CONJUNCTION,aywa-š[aq] ni-ya-n,go-1SUBJ.FUT say-PROGR-3SUBJ,'(S)he has the intention to go',Adelaar (personal communication),example from North Junín Quechua,3,2,2,1,1,2,2,1,1,1,1,0,0,1,1,0
,1028,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1387,-,Quechua,Quechua I,,waqta,'back (body part)','back (body part)',LEXICAL,waqta,behind' (SPATIAL postposition),SIDE (CASE),CASE/ADPOSITION,wasi waqta-n-čo paka-ra-yka-n,house back-3POSS-LOC hide-CONT-PROGR-3SUBJ,'It is hidden behind the house',Weber et al. 1998: 579,example from Huánuco Quechua,3,1,2,1,1,2,2,1,1,0,1,0,0,1,1,0
,1029,30 Sources,other,Adelaar,South America,South America,Quechuan,boli1262,qul/quh,Quechua,Bolivian Quechua,,tiya-,'sit','sit',LEXICAL,tiya-,"EXISTENTIAL ('to be', 'to live')",COPULA,COPULAIC,sumaq aqha tiya-n haqay-pi,fine chicha be-3SUBJ that.remote-LOC,'There is delicious chicha there',"Bills, Vallejo, Troike 1969: 179",example from Cochabamba Quechua,2,1,2,1,1,1,1,1,1,0,1,0,0,0,0,0
,1030,30 Sources,other,Adelaar,South America,South America,Quechuan,quec1387,-,Quechua,Quechua II,,warmi,'woman','woman',LEXICAL,warmi,FEMALE,FEMALE,NOUN CLASSIFICATION,warmi čuri,woman child,'daughter',Adelaar (personal communication),used in all Quechuan varieties,1,1,1,1,2,2,2,1,0,0,0,0,1,1,1,0
,26001,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,thy̌ŋ,'arrive','arrive',LEXICAL,thy̌ŋ,ALLATIVE,ALLATIVE,CASE/ADPOSITION,wan-níi phǒm yàak-cà khǐan còtmǎay thy̌ŋ phŷan phǒm.,day-this 1.SG want write letter to friend 1.SG,"'Today, I want to write a letter to my friend.'",Bisang (personal communication),,3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
,26002,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,thy̌ŋ,'arrive','arrive',LEXICAL,thy̌ŋ,'until',UNTIL (CASE/CONJUNCTION),CONJUNCTION,khǎw tham-ráay phûubaŋkhápbanchaa thy̌ŋ-kàp tɔ̂ŋ khâw rooŋ-phayaabaan.,3.SG do-harm superior.officer until must enter hospital,'He attacked a superior officer until (to the extent that) he had to go to the hospital.',Bisang (personal communication),longer form thy̌ŋ(-kàp/ka),3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
,26003,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,thy̌ŋ,'arrive','arrive',LEXICAL,thy̌ŋ,CONCESSIVE,CONCESSIVE (CONJUNCTION),CONJUNCTION,"thy̌ŋ khǎw pen nákmuay, chán mây klua khǎw.",even.though 3.SG be boxer 1.SG ŋɛG be.afraid 3.SG,"'Even though he is a boxer, I am not afraid of him.'",Kamchai 1952: 346,longer form thy̌ŋ(-cà),3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
,26004,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,lăŋ,'back (body part)','back (body part)',LEXICAL,lăŋ,after',AFTER,TENSE,mŷarày chǎn càʔ dâyráp ŋǝn-khyyn lǎŋ-càak-thîi khyyn sǐnkháa pay lɛ́ɛw.,when 1.SG FUT receive money-return after return product go PFV,'When will I receive refunding after I returned the product?',Bisang (personal communication),longer form lăŋ(-càak-thîi),3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
,26005,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,lăŋ,'back (body part)','back (body part)',LEXICAL,lăŋ,behind',BEHIND,CASE/ADPOSITION,kháw tham-ŋaan-yùu lǎŋ bâan,3.SG work-CONT behind house,'He works behind the house.',Bisang (personal communication),longer form (khâŋ-)lăŋ,3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
,26006,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,lăŋ,'back (body part)','back (body part)',LEXICAL,lăŋ,earlier',BEFORE (TEMPORAL),CONJUNCTION,láa-lǎŋ,lag-behind,"'to lag behind, be behind (in time or space), to be backward'",Bisang (personal communication),"In this function, lǎŋ 'back' is only used metaphorically in fixed expressions.",3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
,26007,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,lăŋ,'back (body part)','back (body part)',LEXICAL,lăŋ,CLASSIFIER,CLASSIFIER,NOUN CLASSIFICATION,khǎw mii bâan sǎam lǎŋ,3.SG have house three CL,'He has three houses.',Bisang (personal communication),,3,2,2,1,2,3,4,1,1,0,1,0,1,1,1,0
,26008,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,lûuk,"'child' ('offspring, fruit')",'child',LEXICAL,lûuk,CLASSIFIER,CLASSIFIER,NOUN CLASSIFICATION,maphráaw hâa lûuk,coconut five CL,'five coconuts',Bisang (personal communication),,3,2,2,1,2,3,4,1,1,0,1,0,1,1,1,0
,26009,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,maa,'come','come',LEXICAL,maa,CONSECUTIVE,CONSECUTIVE (CONJUNCTION),CONJUNCTION,tɔ́ɔ-maa khǎw kɔ̂ plìan,and.then 3.SG thus change ,'Afterwards he changed his mind.',Haas 1964: 188,,3,2,3,1,1,2,4,1,1,0,1,0,0,1,1,0
,26010,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,maa,'come','come',LEXICAL,maa,VENITIVE (DIRECTIONAL verb),VENITIVE,VERBAL DEIXIS,khǎw dyŋ phûu-bàatcèp ʔɔ́ɔk maa.,3.SG pull person-wounded move.out come,'He pulled the wounded out [towards speaker/center of interest]'.,Bisang (personal communication),,2,2,2,1,1,2,3,1,1,0,1,0,0,1,1,0
,26011,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,maa,'come','come',LEXICAL,maa,Coverb/preposition indicating DIRECTION to GOAL near speaker,ALLATIVE,CASE/ADPOSITION,kháw Ɂaw phǒnlama̒ay maa talàat,3.SG take fruit come.to market,'He takes fruits to the market.',Bisang (personal communication),,3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
,26012,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,maa,'come','come',LEXICAL,maa,TEMPORAL reference,TEMPORAL MARKER,TENSE,mŷawaanníi lyym sýy maa.,yesterday forget buy come,"'Yesterday, I forgot to buy [it]' (with the meaning that this event has its effect to the moment of speech — it “comes” to the moment of speech).'",Scovel 1970: 185,Also cf. expressions like: naan-maa-lɛ́ew [long (of time) -come-PFV] 'a long time since',3,2,3,1,1,2,3,1,1,0,1,0,0,1,1,0
,26013,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,pen,"COPULA (be, exist; be alive, living)",COPULA,COPULAIC,pen,"preposition/coverb meaning 'in the function of, as'",FUNCTIONAL,CASE/ADPOSITION,khǎw thamŋaan pen nákwítthayaasàat.,3.SG work as scientist,'He works as a scientist.',Bisang (personal communication),,3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
,26014,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,pen,"COPULA (be, exist; be alive, living)",COPULA,COPULAIC,pen,ABILITY (in terms of LEARNED ABILITY),PI-POSSIBILITY,MODALITY,kháw wâaynaam (mây) pen,he swim (NEG) can,'He can/cannot swim [he has not learned it]',Bisang (personal communication),,3,2,2,1,1,3,3,1,1,0,1,0,0,1,1,0
,26015,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,nán,DEMONSTRATIVE (medial),DEMONSTRATIVE,DEMONSTRATIVE,nán,DEFINITENESS,DEFINITE,DEFINITENESS,"miichaay kɛ̀ɛ khon nỳŋ ʔaasǎy-yùu nay krathɔ̂ɔm kàw, wan nỳŋ mii yǐŋ sǎaw sǔay khon nỳŋ maayîam chaay kɛ̀ɛ khon nán thîi bâan.",there.is  male old CL one live  in shack day one there.is young beautiful CL one come visit male old CL DɛF in house,"'There was a man who lived in an old shack. one day, a beautiful young women came to visit this/the old man at home.'",Bisang (personal communication); Iwasaki & Ingkaphirom (2007),"nán is not a grammaticalized marker of definiteness but it is used in various context for identifying entities which have been activitated in previous discourse. Since an example from a text would need too much space, the example given here is taken from Iwasaki & Ingkaphirom (2007). The definite interpretation of this passage is mine (W.B.).",3,2,3,1,1,2,1,1,1,0,1,0,0,0,0,0
,26016,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,tham,"'do, make'",'do',LEXICAL,tham,CAUSATIVE,CAUSATIVE,VALENCY CHANGE,khǎw tham dèk tòkcay.,3.SG make child get.frightened,'He frightens the child.',Bisang (personal communication),"In this function, tham 'do' is only used with a limited set of stative verbs.",3,2,2,1,1,2,2,1,1,0,1,0,0,1,1,0
,26017,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,sèt,"'finish' (stop doing for the time being; finish for good, being through with sth.)",'finish',LEXICAL,sèt,COMPLETIVE,COMPLETIVE,ASPECT,khǎw rian sèt lɛ́ɛw.,3.SG learn/study finish PFV,'He finished learning/studying [for the time being; e.g. 'He has finished his home work for today].',Bisang (personal communication),"There is also the verb còp 'finish (for good)'. When used in COMPLETIVE function, it indicates that a given action is completed for good.",2,2,3,1,1,2,3,1,1,0,1,0,0,1,1,0
,26018,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,lɛ̒ɛw,'finish','finish',LEXICAL,lɛ̒Ɂ,COORDINATIVE particle,S-AND,CONJUNCTION,Khun ʔaw thúkyàaŋ pay càak phǒm lɛ́ tèʔ phǒm thíŋ.,2.SG take everything go from 1.SG and kick 1.SG throw.away,'You took everything from me and kicked me out.',Bisang (personal communication),other target: PERFECTIVE marker,3,2,3,1,3,3,4,1,0,0,0,0,0,1,1,0
,26019,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,taam,'follow' (go along),'follow',LEXICAL,taam,ACCORDING TO,ACCORD (CASE/CONJUNCTION),CASE/ADPOSITION,khǎw tɛ̀ɛŋtua taam fɛɛchân.,3.SG dress according fashion,'He dresses according to fashion.',Bisang (personal communication),,3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
,26020,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,taam,'follow' (go along),'follow',LEXICAL,taam,SPATIAL:ALONG/PATH,"PATH (SPATIAL, CASE)",CASE/ADPOSITION,kháw dǝǝn pai taam thanǒN,he walk go along street,'he walks along the street.',Bisang (personal communication),,3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
,26021,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,dâj,'get' (come to have),'get',LEXICAL,dâj,ABILITY,PI-POSSIBILITY,MODALITY,khon-ŋôobàtsóp thamŋaan mây dây dii.,Person-stupid work NEG can well,'An idiot cannot/is not able to do good work.',Upakit 1955: 202,,3,2,2,1,1,2,3,1,1,0,1,0,0,1,1,0
,26023,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,dâj,'get' (‘come to have’),'get',LEXICAL,dâj,PAST,PAST,TENSE,khǎw dây phûut kàp phǒm thy̌ŋ ŋaan-khónkhwáa,3.SG PST talk with 1.SG about work-research,'He talked to me about his research work.',Bisang (personal communication),,3,2,2,1,1,2,3,1,1,0,1,0,0,1,1,0
,26024,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,dâj,'get' (come to have),'get',LEXICAL,dâj,PERMISSIVE,D-POSSIBILITY,MODALITY,wan-níi phǒm pay duu nǎŋ dây mǎy?,day-this 1.SG go see movie can Q,'Can I go to the cinema today?' (context: A child asks if s/he can see a movie.),Bisang (personal communication),,3,2,2,1,1,2,2,1,1,0,1,0,0,1,1,0
,26025,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,dâj,'get' (‘come to have’),'get',LEXICAL,dâj,POSSIBILITY,E-POSSIBILITY,MODALITY,thamay khǎw cyŋ pen khŷn maa dây naymŷa khǎw dây taay pay sìp-sɔ̌ɔŋ chûamooŋ lɛ́ɛw.,how 3SG then alive move.up come can while 3SG PST day go ten-two hour PFV,'How is it possible that he became alive again when he died 12 hours ago?',Kamchai 1952: 299,,3,2,2,1,1,2,2,1,1,0,1,0,0,1,1,0
,26026,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,dâj,'get' (come to have),'get',LEXICAL,dâj,'succeed',SUCCEED,MODALITY,wan-níi khun phûut kàp ʔaacaanyày dây mǎy?,day-this 2.SG speak with principal can Q,'Did you manage to talk to the principal today? (Were you successful in talking to the principal today?)',Bisang (personal communication),,2,2,2,1,1,2,2,1,1,0,1,0,0,1,1,0
,26027,30 Sources,other,Bisang,SEA/Oceania,Eurasia,Tai-Kadai,thai1261,tha,Thai,Thai,,hâj,'give','give',LEXICAL,hâj,BENEFACTIVE (preposition),BENEFACTIVE,CASE/ADPOSITION,ŋuan sák phâa  hây lûuk samǝ̌ǝ.,ŋuan wash clothes for child always,'ŋuan always washes clothes for her kid. [The kids are too young to do it themselves]',Rangkupan 2007: 197,,3,2,2,1,1,2,4,1,1,0,1,0,0,1,1,0
