ID,Construction_ID,Parameter_ID,Code_ID,Value,Source,Comment,Example_IDs
3-change-phonetic-reduction,3,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
3-change-paradigmaticity,3,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
3-change-bondedness,3,change-bondedness,change-bondedness-1,1 yes,,,
3-change-paradigmatic-variability,3,change-paradigmatic-variability,change-paradigmatic-variability-1,1 yes,,,
3-change-syntagmatic-variability,3,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
3-change-decategorization,3,change-decategorization,change-decategorization-1,1 yes,,,
3-change-allomorphy,3,change-allomorphy,change-allomorphy-0,0 no,,,
4-target-meaning-type,4,target-meaning-type,target-meaning-type-definiteness,DEFINITENESS,,,
4-source,4,source,,numeral 'one',,sa,11003-sa-sa-indefinite
4-value-semantic-integrity,4,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
4-value-phonetic-reduction,4,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
4-value-paradigmaticity,4,value-paradigmaticity,value-paradigmaticity-3,3 not fully paradigmatic,,,
4-value-bondedness,4,value-bondedness,value-bondedness-1,1 lexical root or free morph,,,
4-value-paradigmatic-variability,4,value-paradigmatic-variability,value-paradigmatic-variability-2,2 restricted obligatoriness,,,
4-value-syntagmatic-variability,4,value-syntagmatic-variability,value-syntagmatic-variability-2,2 more constrained position,,,
4-value-decategorization,4,value-decategorization,value-decategorization-4,4 total decategorization,,,
4-value-allomorphy,4,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
4-change-semantic-integrity,4,change-semantic-integrity,change-semantic-integrity-1,1 yes,,,
4-change-phonetic-reduction,4,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
4-change-paradigmaticity,4,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
4-change-bondedness,4,change-bondedness,change-bondedness-0,0 no,,,
4-change-paradigmatic-variability,4,change-paradigmatic-variability,change-paradigmatic-variability-1,1 yes,,,
4-change-syntagmatic-variability,4,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
4-change-decategorization,4,change-decategorization,change-decategorization-1,1 yes,,,
4-change-allomorphy,4,change-allomorphy,change-allomorphy-0,0 no,,,
5-target-meaning-type,5,target-meaning-type,target-meaning-type-definiteness,DEFINITENESS,,the marker derives indefinite pronouns from interrogative ones,
5-source,5,source,,COPULA (for CONDITIONALS),,ejči(n),11004-ejcin-jcin-indefinite
5-value-semantic-integrity,5,value-semantic-integrity,value-semantic-integrity-2,2 abstract denotational meaning,,,
5-value-phonetic-reduction,5,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
5-value-paradigmaticity,5,value-paradigmaticity,value-paradigmaticity-3,3 not fully paradigmatic,,,
5-value-bondedness,5,value-bondedness,value-bondedness-2,2 clitic,,,
5-value-paradigmatic-variability,5,value-paradigmatic-variability,value-paradigmatic-variability-1,1 freedom of ocurrence,,,
5-value-syntagmatic-variability,5,value-syntagmatic-variability,value-syntagmatic-variability-2,2 more constrained position,,,
5-value-decategorization,5,value-decategorization,value-decategorization-4,4 total decategorization,,,
5-value-allomorphy,5,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
5-change-semantic-integrity,5,change-semantic-integrity,change-semantic-integrity-0,0 no,,,
5-change-phonetic-reduction,5,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
5-change-paradigmaticity,5,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
5-change-bondedness,5,change-bondedness,change-bondedness-1,1 yes,,,
5-change-paradigmatic-variability,5,change-paradigmatic-variability,change-paradigmatic-variability-0,0 no,,,
5-change-syntagmatic-variability,5,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
5-change-decategorization,5,change-decategorization,change-decategorization-1,1 yes,,,
5-change-allomorphy,5,change-allomorphy,change-allomorphy-0,0 no,,,
6-target-meaning-type,6,target-meaning-type,target-meaning-type-definiteness,DEFINITENESS,,the marker derives indefinite pronouns from interrogative ones,
6-source,6,source,,'want' (.CONCESSIVE) (='even'),,kːanči꞊ra,11007-kancira-kancira-indefinite
6-value-semantic-integrity,6,value-semantic-integrity,value-semantic-integrity-2,2 abstract denotational meaning,,,
6-value-phonetic-reduction,6,value-phonetic-reduction,value-phonetic-reduction-1,1 two or more syllables,,,
6-value-paradigmaticity,6,value-paradigmaticity,value-paradigmaticity-2,2 minor (closed) word class,,,
6-value-bondedness,6,value-bondedness,value-bondedness-1,1 lexical root or free morph,,,
6-value-paradigmatic-variability,6,value-paradigmatic-variability,value-paradigmatic-variability-1,1 freedom of ocurrence,,,
6-value-syntagmatic-variability,6,value-syntagmatic-variability,value-syntagmatic-variability-2,2 more constrained position,,,
6-value-decategorization,6,value-decategorization,value-decategorization-4,4 total decategorization,,,
6-value-allomorphy,6,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
6-change-semantic-integrity,6,change-semantic-integrity,change-semantic-integrity-0,0 no,,,
6-change-phonetic-reduction,6,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
6-change-paradigmaticity,6,change-paradigmaticity,change-paradigmaticity-0,0 no,,,
6-change-bondedness,6,change-bondedness,change-bondedness-0,0 no,,,
6-change-paradigmatic-variability,6,change-paradigmatic-variability,change-paradigmatic-variability-0,0 no,,,
6-change-syntagmatic-variability,6,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
6-change-decategorization,6,change-decategorization,change-decategorization-1,1 yes,,,
6-change-allomorphy,6,change-allomorphy,change-allomorphy-0,0 no,,,
7-target-meaning-type,7,target-meaning-type,target-meaning-type-negative,NEGATIVE,,the marker derives negative pronouns from interrogative ones (in combination with verbal negation),
7-source,7,source,,"additive enclitic ('also, even')",,=ra,11009-ra-ra-pronounnegation
7-value-semantic-integrity,7,value-semantic-integrity,value-semantic-integrity-2,2 abstract denotational meaning,,,
7-value-phonetic-reduction,7,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
7-value-paradigmaticity,7,value-paradigmaticity,value-paradigmaticity-2,2 minor (closed) word class,,,
7-value-bondedness,7,value-bondedness,value-bondedness-2,2 clitic,,,
7-value-paradigmatic-variability,7,value-paradigmatic-variability,value-paradigmatic-variability-1,1 freedom of ocurrence,,,
7-value-syntagmatic-variability,7,value-syntagmatic-variability,value-syntagmatic-variability-2,2 more constrained position,,,
7-value-decategorization,7,value-decategorization,value-decategorization-4,4 total decategorization,,,
7-value-allomorphy,7,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
7-change-semantic-integrity,7,change-semantic-integrity,change-semantic-integrity-0,0 no,,,
7-change-phonetic-reduction,7,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
7-change-paradigmaticity,7,change-paradigmaticity,change-paradigmaticity-0,0 no,,,
7-change-bondedness,7,change-bondedness,change-bondedness-0,0 no,,,
7-change-paradigmatic-variability,7,change-paradigmatic-variability,change-paradigmatic-variability-0,0 no,,,
7-change-syntagmatic-variability,7,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
7-change-decategorization,7,change-decategorization,change-decategorization-0,0 no,,,
7-change-allomorphy,7,change-allomorphy,change-allomorphy-0,0 no,,,
8-target-meaning-type,8,target-meaning-type,target-meaning-type-other,OTHER,,,
8-source,8,source,,"additive enclitic ('also, even')",,꞊ra,11014-ra-ra-collectivenumeral
8-value-semantic-integrity,8,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
8-value-phonetic-reduction,8,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
8-value-paradigmaticity,8,value-paradigmaticity,value-paradigmaticity-3,3 not fully paradigmatic,,,
8-value-bondedness,8,value-bondedness,value-bondedness-2,2 clitic,,,
8-value-paradigmatic-variability,8,value-paradigmatic-variability,value-paradigmatic-variability-1,1 freedom of ocurrence,,,
8-value-syntagmatic-variability,8,value-syntagmatic-variability,value-syntagmatic-variability-2,2 more constrained position,,,
8-value-decategorization,8,value-decategorization,value-decategorization-4,4 total decategorization,,,
8-value-allomorphy,8,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
8-change-semantic-integrity,8,change-semantic-integrity,change-semantic-integrity-0,0 no,,,
8-change-phonetic-reduction,8,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
8-change-paradigmaticity,8,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
8-change-bondedness,8,change-bondedness,change-bondedness-0,0 no,,,
8-change-paradigmatic-variability,8,change-paradigmatic-variability,change-paradigmatic-variability-0,0 no,,,
8-change-syntagmatic-variability,8,change-syntagmatic-variability,change-syntagmatic-variability-0,0 no,,,
8-change-decategorization,8,change-decategorization,change-decategorization-0,0 no,,,
8-change-allomorphy,8,change-allomorphy,change-allomorphy-0,0 no,,,
9-target-meaning-type,9,target-meaning-type,target-meaning-type-valencychange,VALENCY CHANGE,,the lexical verb takes the form of the infinitive,
9-source,9,source,,'do',,(a)q'as,11015-aqas-aqas-causative
9-value-semantic-integrity,9,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
9-value-phonetic-reduction,9,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
9-value-paradigmaticity,9,value-paradigmaticity,value-paradigmaticity-2,2 minor (closed) word class,,,
9-value-bondedness,9,value-bondedness,value-bondedness-1,1 lexical root or free morph,,,
9-value-paradigmatic-variability,9,value-paradigmatic-variability,value-paradigmatic-variability-1,1 freedom of ocurrence,,,
9-value-syntagmatic-variability,9,value-syntagmatic-variability,value-syntagmatic-variability-1,1 free word order,,,
9-value-decategorization,9,value-decategorization,value-decategorization-1,1 no change in categorial properties,,,
9-value-allomorphy,9,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
9-change-semantic-integrity,9,change-semantic-integrity,change-semantic-integrity-1,1 yes,,,
9-change-phonetic-reduction,9,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
9-change-paradigmaticity,9,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
9-change-bondedness,9,change-bondedness,change-bondedness-0,0 no,,,
9-change-paradigmatic-variability,9,change-paradigmatic-variability,change-paradigmatic-variability-0,0 no,,,
9-change-syntagmatic-variability,9,change-syntagmatic-variability,change-syntagmatic-variability-0,0 no,,,
9-change-decategorization,9,change-decategorization,change-decategorization-0,0 no,,,
9-change-allomorphy,9,change-allomorphy,change-allomorphy-0,0 no,,,
10-target-meaning-type,10,target-meaning-type,target-meaning-type-tense,TENSE,,,
10-source,10,source,,(-PERFECTIVE CONVERB) COPULA,,(-na) e,11022-nae-ne-past
10-value-semantic-integrity,10,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
10-value-phonetic-reduction,10,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
10-value-paradigmaticity,10,value-paradigmaticity,value-paradigmaticity-4,4 a small and homogeneous paradigm,,,
10-value-bondedness,10,value-bondedness,value-bondedness-3,3 agglutinative affix,,,
10-value-paradigmatic-variability,10,value-paradigmatic-variability,value-paradigmatic-variability-4,4 general obligatoriness,,,
10-value-syntagmatic-variability,10,value-syntagmatic-variability,value-syntagmatic-variability-4,4 fixed position in a template,,,
10-value-decategorization,10,value-decategorization,value-decategorization-4,4 total decategorization,,,
10-value-allomorphy,10,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
10-change-semantic-integrity,10,change-semantic-integrity,change-semantic-integrity-1,1 yes,,,
10-change-phonetic-reduction,10,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
10-change-paradigmaticity,10,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
10-change-bondedness,10,change-bondedness,change-bondedness-1,1 yes,,,
10-change-paradigmatic-variability,10,change-paradigmatic-variability,change-paradigmatic-variability-1,1 yes,,,
10-change-syntagmatic-variability,10,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
10-change-decategorization,10,change-decategorization,change-decategorization-1,1 yes,,,
10-change-allomorphy,10,change-allomorphy,change-allomorphy-0,0 no,,,
11-target-meaning-type,11,target-meaning-type,target-meaning-type-aspect,ASPECT,,"the locative copula originally means 'be located, be inside'",
11-source,11,source,,(-PERFECTIVE CONVERB) LOCATIVE COPULA,,(-na) a,11024-naa-naanajanaanaaanaaja-perfectaspect
11-value-semantic-integrity,11,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
11-value-phonetic-reduction,11,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
11-value-paradigmaticity,11,value-paradigmaticity,value-paradigmaticity-4,4 a small and homogeneous paradigm,,,
11-value-bondedness,11,value-bondedness,value-bondedness-3,3 agglutinative affix,,,
11-value-paradigmatic-variability,11,value-paradigmatic-variability,value-paradigmatic-variability-4,4 general obligatoriness,,,
11-value-syntagmatic-variability,11,value-syntagmatic-variability,value-syntagmatic-variability-4,4 fixed position in a template,,,
11-value-decategorization,11,value-decategorization,value-decategorization-3,3 absence of most properties,,,
11-value-allomorphy,11,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
11-change-semantic-integrity,11,change-semantic-integrity,change-semantic-integrity-1,1 yes,,,
11-change-phonetic-reduction,11,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
11-change-paradigmaticity,11,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
11-change-bondedness,11,change-bondedness,change-bondedness-1,1 yes,,,
11-change-paradigmatic-variability,11,change-paradigmatic-variability,change-paradigmatic-variability-1,1 yes,,,
11-change-syntagmatic-variability,11,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
11-change-decategorization,11,change-decategorization,change-decategorization-1,1 yes,,,
11-change-allomorphy,11,change-allomorphy,change-allomorphy-0,0 no,,,
12-target-meaning-type,12,target-meaning-type,target-meaning-type-modality,MODALITY,,"structurally, the form is a ""future in the past""",
12-source,12,source,,(-INFINITIVE) COPULA (.PAST),,(-s) ij,11032-sij-sij-irrealis
12-value-semantic-integrity,12,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
12-value-phonetic-reduction,12,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
12-value-paradigmaticity,12,value-paradigmaticity,value-paradigmaticity-4,4 a small and homogeneous paradigm,,,
12-value-bondedness,12,value-bondedness,value-bondedness-3,3 agglutinative affix,,,
12-value-paradigmatic-variability,12,value-paradigmatic-variability,value-paradigmatic-variability-4,4 general obligatoriness,,,
12-value-syntagmatic-variability,12,value-syntagmatic-variability,value-syntagmatic-variability-4,4 fixed position in a template,,,
12-value-decategorization,12,value-decategorization,value-decategorization-4,4 total decategorization,,,
12-value-allomorphy,12,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
12-change-semantic-integrity,12,change-semantic-integrity,change-semantic-integrity-1,1 yes,,,
12-change-phonetic-reduction,12,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
12-change-paradigmaticity,12,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
12-change-bondedness,12,change-bondedness,change-bondedness-1,1 yes,,,
12-change-paradigmatic-variability,12,change-paradigmatic-variability,change-paradigmatic-variability-1,1 yes,,,
12-change-syntagmatic-variability,12,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
12-change-decategorization,12,change-decategorization,change-decategorization-1,1 yes,,,
12-change-allomorphy,12,change-allomorphy,change-allomorphy-0,0 no,,,
13-target-meaning-type,13,target-meaning-type,target-meaning-type-evidential,EVIDENTIAL,,,
13-source,13,source,,'say' (.PRESENT tense or PRESENT HABITUAL: 'they say'),,"ʁaja, ʁaje",11039-ajaaje-aj-evidentialreported
13-value-semantic-integrity,13,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
13-value-phonetic-reduction,13,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
13-value-paradigmaticity,13,value-paradigmaticity,value-paradigmaticity-3,3 not fully paradigmatic,,,
13-value-bondedness,13,value-bondedness,value-bondedness-3,3 agglutinative affix,,,
13-value-paradigmatic-variability,13,value-paradigmatic-variability,value-paradigmatic-variability-1,1 freedom of ocurrence,,,
13-value-syntagmatic-variability,13,value-syntagmatic-variability,value-syntagmatic-variability-4,4 fixed position in a template,,,
13-value-decategorization,13,value-decategorization,value-decategorization-4,4 total decategorization,,,
13-value-allomorphy,13,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
13-change-semantic-integrity,13,change-semantic-integrity,change-semantic-integrity-1,1 yes,,,
13-change-phonetic-reduction,13,change-phonetic-reduction,change-phonetic-reduction-1,1 yes,,,
13-change-paradigmaticity,13,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
13-change-bondedness,13,change-bondedness,change-bondedness-1,1 yes,,,
13-change-paradigmatic-variability,13,change-paradigmatic-variability,change-paradigmatic-variability-0,0 no,,,
13-change-syntagmatic-variability,13,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
13-change-decategorization,13,change-decategorization,change-decategorization-1,1 yes,,,
13-change-allomorphy,13,change-allomorphy,change-allomorphy-0,0 no,,,
14-target-meaning-type,14,target-meaning-type,target-meaning-type-verbalcategoriesother,"VERBAL CATEGORIES, OTHER",,,
14-source,14,source,,(-CONDITIONAL) 'see',,(-či) agʷ-,11041-ciag-cugcukcuq-verificative
14-value-semantic-integrity,14,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
14-value-phonetic-reduction,14,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
14-value-paradigmaticity,14,value-paradigmaticity,value-paradigmaticity-3,3 not fully paradigmatic,,,
14-value-bondedness,14,value-bondedness,value-bondedness-3,3 agglutinative affix,,,
14-value-paradigmatic-variability,14,value-paradigmatic-variability,value-paradigmatic-variability-1,1 freedom of ocurrence,,,
14-value-syntagmatic-variability,14,value-syntagmatic-variability,value-syntagmatic-variability-4,4 fixed position in a template,,,
14-value-decategorization,14,value-decategorization,value-decategorization-4,4 total decategorization,,,
14-value-allomorphy,14,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
14-change-semantic-integrity,14,change-semantic-integrity,change-semantic-integrity-1,1 yes,,,
14-change-phonetic-reduction,14,change-phonetic-reduction,change-phonetic-reduction-1,1 yes,,,
14-change-paradigmaticity,14,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
14-change-bondedness,14,change-bondedness,change-bondedness-1,1 yes,,,
14-change-paradigmatic-variability,14,change-paradigmatic-variability,change-paradigmatic-variability-0,0 no,,,
14-change-syntagmatic-variability,14,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
14-change-decategorization,14,change-decategorization,change-decategorization-1,1 yes,,,
14-change-allomorphy,14,change-allomorphy,change-allomorphy-0,0 no,,,
15-target-meaning-type,15,target-meaning-type,target-meaning-type-aspect,ASPECT,,,
15-source,15,source,,local prefix (POSTESSIVE),,q-,11045-q-qqaquqi-iterative
15-value-semantic-integrity,15,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
15-value-phonetic-reduction,15,value-phonetic-reduction,value-phonetic-reduction-3,3 subsyllabic morph,,,
15-value-paradigmaticity,15,value-paradigmaticity,value-paradigmaticity-3,3 not fully paradigmatic,,,
15-value-bondedness,15,value-bondedness,value-bondedness-3,3 agglutinative affix,,,
15-value-paradigmatic-variability,15,value-paradigmatic-variability,value-paradigmatic-variability-1,1 freedom of ocurrence,,,
15-value-syntagmatic-variability,15,value-syntagmatic-variability,value-syntagmatic-variability-4,4 fixed position in a template,,,
15-value-decategorization,15,value-decategorization,value-decategorization-4,4 total decategorization,,,
15-value-allomorphy,15,value-allomorphy,value-allomorphy-4,4 lexically conditioned allomorphy,,,
15-change-semantic-integrity,15,change-semantic-integrity,change-semantic-integrity-0,0 no,,,
15-change-phonetic-reduction,15,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
15-change-paradigmaticity,15,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
15-change-bondedness,15,change-bondedness,change-bondedness-1,1 yes,,,
15-change-paradigmatic-variability,15,change-paradigmatic-variability,change-paradigmatic-variability-0,0 no,,,
15-change-syntagmatic-variability,15,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
15-change-decategorization,15,change-decategorization,change-decategorization-0,0 no,,,
15-change-allomorphy,15,change-allomorphy,change-allomorphy-1,1 yes,,,
16-target-meaning-type,16,target-meaning-type,target-meaning-type-conjunction,CONJUNCTION,,,
16-source,16,source,,'time' (in OBLIQUE case),,gah,11047-gah-gunaganaguni-subordinator
16-value-semantic-integrity,16,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
16-value-phonetic-reduction,16,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
16-value-paradigmaticity,16,value-paradigmaticity,value-paradigmaticity-4,4 a small and homogeneous paradigm,,,
16-value-bondedness,16,value-bondedness,value-bondedness-3,3 agglutinative affix,,,
16-value-paradigmatic-variability,16,value-paradigmatic-variability,value-paradigmatic-variability-1,1 freedom of ocurrence,,,
16-value-syntagmatic-variability,16,value-syntagmatic-variability,value-syntagmatic-variability-4,4 fixed position in a template,,,
16-value-decategorization,16,value-decategorization,value-decategorization-4,4 total decategorization,,,
16-value-allomorphy,16,value-allomorphy,value-allomorphy-1,1 no allomorphy,,,
16-change-semantic-integrity,16,change-semantic-integrity,change-semantic-integrity-1,1 yes,,,
16-change-phonetic-reduction,16,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
16-change-paradigmaticity,16,change-paradigmaticity,change-paradigmaticity-1,1 yes,,,
16-change-bondedness,16,change-bondedness,change-bondedness-1,1 yes,,,
16-change-paradigmatic-variability,16,change-paradigmatic-variability,change-paradigmatic-variability-0,0 no,,,
16-change-syntagmatic-variability,16,change-syntagmatic-variability,change-syntagmatic-variability-1,1 yes,,,
16-change-decategorization,16,change-decategorization,change-decategorization-1,1 yes,,,
16-change-allomorphy,16,change-allomorphy,change-allomorphy-0,0 no,,,
17-target-meaning-type,17,target-meaning-type,target-meaning-type-aspect,ASPECT,,,
17-source,17,source,,(-IMPERFECTIVE CONVERB) 'do',,(-j) aq'-,11054-jaq-jaq-durative
17-value-semantic-integrity,17,value-semantic-integrity,value-semantic-integrity-3,3 abstract relational meaning,,,
17-value-phonetic-reduction,17,value-phonetic-reduction,value-phonetic-reduction-2,2 monosyllabic forms,,,
17-value-paradigmaticity,17,value-paradigmaticity,value-paradigmaticity-3,3 not fully paradigmatic,,,
17-value-bondedness,17,value-bondedness,value-bondedness-1,1 lexical root or free morph,,,
17-value-paradigmatic-variability,17,value-paradigmatic-variability,value-paradigmatic-variability-1,1 freedom of ocurrence,,,
17-value-syntagmatic-variability,17,value-syntagmatic-variability,value-syntagmatic-variability-2,2 more constrained position,,,
17-value-decategorization,17,value-decategorization,value-decategorization-2,2 partial absence of some properties,,,
17-value-allomorphy,17,value-allomorphy,value-allomorphy-2,2 phonologically conditioned allomorphy,,,
17-change-semantic-integrity,17,change-semantic-integrity,change-semantic-integrity-1,1 yes,,,
17-change-phonetic-reduction,17,change-phonetic-reduction,change-phonetic-reduction-0,0 no,,,
