ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Source_comment
18020-kab-kab-ablativetemporal,bambara,À nà-ná kà bɔ́ Bàmàkɔ́.,À	nà-ná	kà	bɔ́	Bàmàkɔ́.,3SG	come-CPL	INF	go.out	Bamako,He came from Bamako.,,,,,Creissels (personal communication)
18021-kataa-kataa-allative,bambara,kà bɔ́ Bàmàkɔ́ kà táa Ségú,kà	bɔ́	Bàmàkɔ́	kà	táa	Ségú,INF	go.out	Bamako	INF	go	Ségou,from Bamako to Ségou,,,,,Creissels (personal communication)
18022-atigi-atigi-personalpronoun,bambara,Ń má à tìgî dɔ́n.,Ń	má	à	tìgî	dɔ́n.,1SG	CPL.NEG	3SG	master	know,I don't know the person in question.,,,,,Creissels (personal communication)
18024-da-la-causative,bambara,Wùlû bɛ́ dénmísɛ̂n lá-sírán.,Wùlû	bɛ́	dénmísɛ̂n	lá-sírán.,dog.D	INCPL	child.D	CAUS-be_afraid,The dog frightens the child.,,,,bisang_16_2020[708],
18025-bila-bila-causative,bambara,À yè ń bìlá kà nà.,À	yè	ń	bìlá	kà	nà.,3SG	CPL	1SG	let	INF	come,He let me come.,,,,,Creissels (personal communication)
18026-gn-gn-reciprocalpronoun,bambara,Ù bɛ́ ɲɔ́gɔ́n dɛ̀mɛ̀.,Ù	bɛ́	ɲɔ́gɔ́n	dɛ̀mɛ̀.,3PL	ICPL	RECIP	help,They help each other.,,,,,Creissels (personal communication)
18029-ye-ye-completive,bambara,Kèw-óo yè bàtáay-ôo sáfée à díŋ-ò yè.,Kèw-óo	yè	bàtáay-ôo	sáfée	à	díŋ-ò	yè.,man-D	CPL	letter-D	write	3SG	son-D	BEN,The man wrote a letter to his son.,,,,bisang_16_2020[711],
18033-ban-ban-already,bambara,À táa-rá kà bán.,À	táa-rá	kà	bán.,3SG	go-CPL	INF	finish,He has already left.,,,,,Creissels (personal communication)
18035-sin-sin-changeofstate,bambara,Mùsô sín-ná kà kàsí.,Mùsô	sín-ná	kà	kàsí.,woman.D	move_toward-CPL	INF	cry,The woman burst into tears.,,,,bisang_16_2020[712],
18036-ini-ini-imminence,bambara,Ù bɛ́ ɲíní kà sà,Ù	bɛ́	ɲíní	kà	sà,3PL	ICPL	look.for	INF	die,They are about to die,,,,bisang_16_2020[712],
18037-segin-segin-iterative,bambara,À sègìnná kà kùlò,À	sègìnná	kà	kùlò,3SG	return-CPL	INF	scream,He screamed again,,,,bisang_16_2020[712],
18038-to-to-durative,bambara,Ù tó-rá à lá kà báarâ kɛ́.,Ù	tó-rá	à	lá	kà	báarâ	kɛ́.,3PL	remain-CPL	3SG	at	INF	work	do,They continued to work.,,,,,Creissels (personal communication)
18039-tila-tila-eventually,bambara,Ù tílálá kà sábálí,Ù	tílálá	kà	sábálí,3PL	finish	INF	calm_down,They eventually calmed,,,,bisang_16_2020[713],
18041-ka-ka-hortative,bambara,Ù ká táa fòrô lá.,Ù	ká	táa	fòrô	lá.,3PL	HORT	go	field.D	to,Let them go to the field.,,,,,Creissels (personal communication)
18042-kana-kana-prohibitive,bambara,Ǔ kànâ táa fòrô lá.,Ǔ	kànâ	táa	fòrô	lá.,3PL	PROH	go	field.D	to,Let them not go to the field.,,,,,Creissels (personal communication)
18043-se-se-epossibility,bambara,Ń bɛ́ sé kà ɲìn kɛ́.,Ń	bɛ́	sé	kà	ɲìn	kɛ́.,1SG	ICPL	reach	INF	DEM	do,I can do that.,,,,,Creissels (personal communication)
18044-kan-kan-dnecessity,bambara,Ń ká kán kà ɲìn kɛ́.,Ń	ká	kán	kà	ɲìn	kɛ́.,1SG	ST	be_equal	INF	DEM	do,I must do that.,,,,,Creissels (personal communication)
18048-na-na-future,bambara,À nà báarâ kɛ́.,À	nà	báarâ	kɛ́.,3SG	FUT	work.D	do,He will work.,,,,,Creissels (personal communication)
18053-kabini-kabini-temporalmarker,bambara,kabini kunun,kabini	kunun,since	yesterday,since yesterday,,,,,Creissels (personal communication)
18055-sani-sani-beforetemporal,bambara,Dúmúnî kɛ́ sání kà táa.,Dúmúnî	kɛ́	sání	kà	táa.,eating.D	do	before	INF	go,Eat before leaving.,,,,,Creissels (personal communication)
18057-ni-ni-conditionalconjunction,bambara,"Ní Fàtú nà-ná, wárî dí à mà!","Ní	Fàtú	nà-ná,	wárî	dí	à	mà!",if	Fatou	come-CPL	money.D	give	3SG	to,"If Fatou comes, give her the money!",,,,bisang_16_2020[719],
18059-sabu-sabu-causeconjunction,bambara,"Kínî dí à mà, sábú kɔ́ngɔ̂ bɛ́ à lá.","Kínî	dí	à	mà,	sábú	kɔ́ngɔ̂	bɛ́	à	lá.",food.D	give	3SG	to	since	hunger	LCOP	3SG	at,"Give him food, since he is hungry.",,,,,Creissels (personal communication)
18063-dan-dan-only,bambara,Ǒ dàn yé ń ná sà síní.,Ǒ	dàn	yé	ń	ná	sà	síní.,DEM	only	ECOP	1SG	FUT	die	tomorrow,It's only that I will die tomorrow.,,,,,Creissels (personal communication)
18067-ko-ko-similativeconjunction,bambara,À kà fàrànsìkáŋò fó kó Tùbáabòo.,À	kà	fàrànsìkáŋò	fó	kó	Tùbáabòo.,3SG	ICPL	french.language.D	speak	like	European.D,He speaks French like a European.,,,,,Creissels (personal communication)
18068-muso-muso-female,bambara,wùlù-músó,wùlù-músó,dog-woman,bitch,,,,,Creissels (personal communication)
18069-kelen-kelen-only,bambara,À kélén nà-ná.,À	kélén	nà-ná.,3SG	one	come-CPL,He came alone.,,,,,Creissels (personal communication)
18070-to-d-indefinite,bambara,Mùsô dɔ́ nà-ná.,Mùsô	dɔ́	nà-ná.,woman.D	some	come-CPL,Some woman came.,,,,,Creissels (personal communication)
18071-to-d-indefinitepronoun,bambara,Dɔ́ nà-ná.,Dɔ́	nà-ná.,some	come-CPL,Someone came.,,,,,Creissels (personal communication)
18072-kelen-kelen-only,bambara,À kélén nà-ná.,À	kélén	nà-ná.,3SG	one	come-CPL,He came alone.,,,,,Creissels (personal communication)
18073-to-d-other,bambara,"Mùsô dɔ́-ú nà-ná, dɔ́-ú má nà.","Mùsô	dɔ́-ú	nà-ná,	dɔ́-ú	má	nà.",woman.D	some-PL	come-CPL	other-PL	CPL.NEG	come,"Some women came, others did not come.",,,,,Creissels (personal communication)
18074-kelen-kelen-same,bambara,Ǒ mɔ̀gɔ̀ kélén nà-ná.,Ǒ	mɔ̀gɔ̀	kélén	nà-ná.,DEM	person	one.D	come-CPL,The same person came.,,,,,Creissels (personal communication)
18075-fnofn-feoofe-indefinitepronoun,bambara,à dímmúsòo féŋóofèŋ,à	dímmúsòo	féŋóofèŋ,3SG	daughter	anything,any of his daughters,,,,,Creissels (personal communication)
18076-se-se-pipossibility,bambara,Ń bɛ́ sé kà ɲìn kɛ́.,Ń	bɛ́	sé	kà	ɲìn	kɛ́.,1SG	ICPL	reach	INF	DEM	do,I can do that.,,,,,Creissels (personal communication)
18077-den-nin-diminutive,bambara,kɔ̀nɔ̀-nín,kɔ̀nɔ̀-nín,bird-DIM,small bird,,,,,Creissels (personal communication)
18081-bolo-bolo-agentcase,bambara,Kínî tóbí-rá Fàtú bóló.,Kínî	tóbí-rá	Fàtú	bóló.,meal.D	cook.CPL	Fatou	by,The meal was prepared by Fatou,,,,,Creissels (personal communication)
18082-bolo-bolo-hpossessive,bambara,Nɛ̀gɛ̀sô bɛ́ Sékù bóló.,Nɛ̀gɛ̀sô	bɛ́	Sékù	bóló.,bicycle.D	LCOP	Sékou	at,Sékou has a bicycle.,,,,,Creissels (personal communication)
18085-c-k-male,bambara,wùlù-kɛ́,wùlù-kɛ́,dog-man,male dog,,,,,Creissels (personal communication)
12007-ngany-nga-applicative,bardi,baawa-nim i-n-jiidi-ng jan ooldoobal,baawa-nim	i-n-jiidi-ng	jan	ooldoobal,child-ERG	3NOM-CM-go-APP	1MIN.OBL	things,The child is touching my things.,,,,bisang_26_2020[1094],
12016-jina-jina-copula,bardi,arra-jina goolboo,arra-jina	goolboo,not-3MIN.OBL	stone,I have no money.,,,,bisang_26_2020[1100],
10012-com-kung-patientcase,bataviacreole,Eo nada larga kung ela.,Eo	nada	larga	kung	ela.,1SG	FUT.NEG	leave	OBJ	3SG.F,I won't leave her.,,,,,Michaelis & Haspelmath (personal communication)
10022-ja-dja-perfective,bataviacreole,Undi dja anda?,Undi	dja	anda?,where	PFV	go,Where did he go?,,,,,Michaelis & Haspelmath (personal communication)
5001-baruk-baruk-personalpronoun,beja,baruːk oː=buːn gʷʔa-ti,baruːk	oː=buːn	gʷʔa-ti,2SG.M.NOM	DEF.SG.M.ACC=coffee	drink-AOR.2SG.M,You have drunk the coffee.,,,,bisang_15_2020[674],
5002-iknaji-iknaji-intensifier,beja,ani i=kina=ji bak daː-s-eːti a-ndʔi,ani	i=kina=ji	bak	daː-s-eːti	a-ndʔi,1SG.NOM	DEF.M=PRO.REFL=POSS.1SG.NOM	DEICT.MNR	be_there-CAUS-CVB.GNRL	1SG-do\IPFV1,"As for me, I would let the matter drop.",,,,bisang_15_2020[664],
5003-ikna-ikna-intensifier,beja,toː=kina a-naw=hoːb,toː=kina	a-naw=hoːb,DEF.SG.F.ACC=PRO.REFL	1SG-lack\MID.PFV=when,When I missed her altogether…,,,,bisang_15_2020[664],
5004-ikna-ikna-apossessive,beja,i=liːli aː=kna gʷid-a na rh-jaːn=heːb,i=liːli	aː=kna	gʷid-a	na	rh-jaːn=heːb,DEF.M=eye	DEF.PL.M.NOM=PRO.REFL	be_numerous-CVB.MNR	thing	see-PFV.3PL=OBJ.1SG,My own eyes (lit. the eyes themselves) saw many things for me.,,,,bisang_15_2020[664],
5005-gali-gali-indefinitepronoun,beja,oːn i=kiraːj ah-iːt gali=b gaw,oːn	i=kiraːj	ah-iːt	gali=b	gaw,PROX.SG.M.ACC	DEF.M=payment	take-CVB.SEQ	one\PL=INDF.M.ACC	house,Having rented a house from someone…,,,,bisang_15_2020[665],
5006-ani-ani-imperfective,beja,buːn=i gʷʔ-ani,buːn=i	gʷʔ-ani,coffee=POSS.1SG.ACC	drink-IPFV.1SG,I drink my coffee.,,,,578223,
5007-hi-hi-applicative,beja,i=ʔaraːw=uːn dhaːj tikʷ-ija-i i-hi=heːb,i=ʔaraːw=uːn	dhaːj	tikʷ-ija-i	i-hi=heːb,DEF.M=friend=POSS.1PL.NOM	DIR	descend-PFV.3SG.M-L	3SG.M-give\PFV=OBJ.1SG,Our friend came down to him for me.,,,,bisang_15_2020[667],
5008-awa-wa-perfectaspect,beja,kak jʔ-aː=b=wa?,kak	jʔ-aː=b=wa?,how	come-CVB.MNR=INDF.M.ACC=COP.2SG.M,How have you come?,,,,bisang_15_2020[668],
5009-ak-ak-perfectaspect,beja,lawwaːw-aː=b ka=a-ki,lawwaːw-aː=b	ka=a-ki,prowl-CVB.MNR=INDF.M.ACC	NEG.IPFV=1SG-become\PFV,I did not prowl around.,,,,578223,
5010-harabaj-harabaj-durative,beja,ʔadaroː-ja=ka=t aka-jeː harʔa i-beː-n=eːb=ka,ʔadaroː-ja=ka=t	aka-jeː	harʔa	i-beː-n=eːb=ka,red-PL=CMPR=INDF.F	become-CVB.SMLT	after	3-go\INT.PFV-PL=REL.M=DISTR,It kept becoming redder and redder all the time.,,,,bisang_15_2020[668],
5011-ba-ba-egressive,beja,dirar-ti bʔ-eːn=eːb oː=doːr,dirar-ti	bʔ-eːn=eːb	oː=doːr,dine\MID-CVB.GNRL	lie_down-IPFV.3PL=REL.M	DEF.SG.M.ACC=time,When they finish dining…,,,,bisang_15_2020[668],
5012-di-d-bnecessity,beja,baroːk tam-aː=hoːk eː-d-na,baroːk	tam-aː=hoːk	eː-d-na,2SG.M.ACC	eat-CVB.MNR=OBJ.2SG	3-say\IPFV-PL,They want/intend to eat you.,,,,bisang_15_2020[669],
5013-j-j-epossibility,beja,hinin rhi-is-at=oːk eːnej,hinin	rhi-is-at=oːk	eːnej,1PL.NOM	see-CAUS-POT=POSS.2SG.ACC	come\IPFV.1PL,We'll show you!,,,,bisang_15_2020[669],
5014-na-na-complementizer,beja,dajjara-a na tannʔi,dajjara-a	na	tannʔi,be_tired-CVB.MNR	thing	ressemble\IPFV.3SG,He pretends to be tired.,,,,bisang_15_2020[674],
5015-di-di-future,beja,kak iː-wr=heːb i-jad-na,kak	iː-wr=heːb	i-jad-na,how	FUT.SG-do=OBJ.1SG	3-say\IPFV-PL,What are they going to do to me?,,,,bisang_15_2020[670],
5016-gad-gad-futurenear,beja,ʔabuːk-i dhaːj=ka i-ngadi=jaːt=ka,ʔabuːk-i	dhaːj=ka	i-ngadi=jaːt=ka,catch\N.AC-GEN	DIR=DISTR	3SG.M-stop\PFV=COORD=DISTR,Each time he was about to catch it…,,,,bisang_15_2020[670],
5017-di-di-emphatic,beja,fidig-a dʔi-jaː=b=u,fidig-a	dʔi-jaː=b=u,untie-CVB.MNR	do-CVB.MNR=INDF.M.ACC=COP.1SG,I did let it go.,,,,bisang_15_2020[671],
5018-ah-nin-emphatic,beja,ɖaːb-eːti i-niːn,ɖaːb-eːti	i-niːn,run-CVB.GNRL	3SG.M-take\IPFV,He runs away.,,,,578223,
5019-rib-rib-negation,beja,t=ʔaba=t=i dh=eː tʔi-it ti-rib,t=ʔaba=t=i	dh=eː	tʔi-it	ti-rib,DEF.F=valley=INDF.F=POSS.1SG.NOM	DIR=POSS.1SG.ACC	resemble-VN	3sg.f-refuse\PFV,"To me, my valley did not look like it.",,,,bisang_15_2020[671],
5020-as-as-upspatial,beja,ʔas-ti far-iːni,ʔas-ti	far-iːni,be_up-CVB.GNRL	jump-IPFV.3SG.M,He jumps upwards.,,,,bisang_15_2020[671],
5021-onmarii-onmarii-venitive,beja,w=ʔawi oːn mari-i far-ja,w=ʔawi	oːn	mari-i	far-ja,DEF.SG.M=stone	PROX.SG.M.ACC	direction-GEN	jump-PFV.3SG.M,"He jumped over the rock, in our direction.",,,,bisang_15_2020[672],
5022-t-t-relativizer,beja,takat miskiːn=t areː [ʔarit mhaj=t tiː-biri=t] tiː-fi,takat	miskiːn=t	areː	[ʔarit	mhaj=t	tiː-biri=t]	tiː-fi,woman	poor=INDF.F	then	girl\PL	three=INDF.F	3SG.F-have\AOR=REL.F	3SG.F-be_there\AOR,"There was a poor woman then, who had three daughters.",,,,bisang_15_2020[673],
5023-ti-ti-relativizer,beja,toːt ti=takat [ti=waw-ti]=t rh-i=hoːb,toːt	ti=takat	[ti=waw-ti]=t	rh-i=hoːb,PROX.SG.F.ACC	DEF.F=woman	REL.F=weep-AOR.3SG.F=REL.F	see-AOR.3SG.M=when,When he saw this woman who was crying …,,,,bisang_15_2020[673],
5024-web-web-relativizer,beja,oː=mhiːn [w=ʔani a-ngaːd iː-kti=jeːb],oː=mhiːn	[w=ʔani	a-ngaːd	iː-kti=jeːb],DEF.SG.M.ACC=place	REL.SG.M=1SG.NOM	1SG-stop\PFV	3SG.M-become\AOR=REL.M,The place where I had stopped …,,,,bisang_15_2020[673],
5025-hob-hob-subordinator,beja,a-dif=hoːb biri dh=eː i-jaːm,a-dif=hoːb	biri	dh=eː	i-jaːm,1SG-leave\IPFV=when	rain	DIR=POSS.1SG.ACC	3SG.M-pour_water\INT.PFV,"When I left, it rained over me.",,,,bisang_15_2020[674],
5026-dor-dor-subordinator,beja,oː=tak ʃoːb-an=eːb oː=doːr,oː=tak	ʃoːb-an=eːb	oː=doːr,DEF.SG.M.ACC=man	greet-PFV.1SG=REL.M	DEF.SG.M.ACC=time,When I greeted the man …,,,,bisang_15_2020[674],
5027-ebhadid-ebhadid-untilcaseconjunction,beja,oːn i=kaːm=oːk heː=heːb baruːk oː=buːn  gʷʔa-ti=eːb hadiːd,oːn	i=kaːm=oːk	heː=heːb	baruːk	oː=buːn	gʷʔa-ti=eːb	hadiːd,PROX.SG.M.ACC	DEF.M=camel=POSS.2SG.ACC	give\IMP.[SG.M]=OBJ.1SG	2SG.M.NOM	DEF.SG.M.ACC=coffee	drink-AOR.2SG.M=REL.M	limit,Give me your camel until you have drunk the coffee.,,,,bisang_15_2020[674],
5028-ebokik-ebokik-untilcaseconjunction,beja,i=jam-i dar ti-ngad=eːb oː=kiːk,i=jam-i	dar	ti-ngad=eːb	oː=kiːk,DEF.M=water\PL-GEN	side	2SG.F-stop\PFV=REL.M	DEF.M.ACC=equivalent,Until she stopped by the water.,,,,bisang_15_2020[675],
